隸屬大隊,隸屬中隊,單位名稱,行政區域代碼,地址,電話號碼,傳真號碼,N,E
第一救災救護大隊,第一中隊,前金分隊,64000070,801006高雄市前金區中正四路191號,(07)2613836,07-251-0895,22.62856487,120.2942373
第一救災救護大隊,第一中隊,新興分隊,64000060,800012高雄市新興區中正三路3號,(07)2265662,07-226-5682,22.63044495,120.3112678
第一救災救護大隊,第一中隊,苓雅分隊,64000080,802025高雄市苓雅區三多一路162號,(07)7711393,07-771-7714,22.62269059,120.3306336
第一救災救護大隊,第二中隊,旗津分隊,64000100,805006高雄市旗津區旗津二路600號,(07)5712519,07-571-8625,22.58589663,120.2881779
第一救災救護大隊,第二中隊,瑞隆分隊,64000090,80652高雄市前鎮區班超路53號,(07)8222146,07-821-4485,22.60025034,120.3256734
第一救災救護大隊,第二中隊,前鎮分隊,64000090,806036高雄市前鎮區康定路113號,(07)8311385,07-815-1527,22.58656915,120.3189677
第一救災救護大隊,第二中隊,成功分隊,64000090,806029高雄市前鎮區凱旋四路119號1F,(07)8226000,07-822-6111,22.59313216,120.3074279
第二救災救護大隊,第一中隊,大昌分隊,64000050,807056高雄市三民區大順二路468號,(07)3854955,07-396-2816,22.64929643,120.3249491
第二救災救護大隊,第一中隊,鼎金分隊,64000050,807074高雄市三民區天祥一路97號,(07)3106120,07-310-6124,22.66688534,120.321707
第二救災救護大隊,第一中隊,十全分隊,64000050,807017高雄市三民區十全一路88號,(07)3117716,07-316-3857,22.64504802,120.3112778
第二救災救護大隊,第二中隊,左營分隊,64000030,813009高雄市左營區鼓山三路450號,(07)5818550,07-587-9237,22.67142281,120.2856776
第二救災救護大隊,第二中隊,左營小隊,64000030,813004高雄市左營區進學路1-1號,(07)5838920,07-585-0119,22.69058034,120.2954116
第二救災救護大隊,第二中隊,新莊分隊,64000030,813011高雄市左營區民族一路749號,(07)3455506,07-350-7513,22.67540281,120.3180618
第二救災救護大隊,第二中隊,中華分隊,64000020,804051高雄市鼓山區中華一路2320號,(07)5545527,07-552-4890,22.65012119,120.2916025
第二救災救護大隊,第二中隊,鼓山分隊,64000020,804001高雄市鼓山區臨海一路61-1號,(07)5213712,07-531-0639,22.62334852,120.2754798
第三救災救護大隊,第一中隊,鳳祥分隊,64000120,830069高雄市鳳山區鳳頂路360號,(07)7925946,07-792-5121,22.59253134,120.3593074
第三救災救護大隊,第一中隊,五甲分隊,64000120,830049高雄市鳳山區五甲二路472號,(07)7130696,07-726-4139,22.59758478,120.3349074
第三救災救護大隊,第一中隊,鳳山分隊,64000120,830025高雄市鳳山區經武路36號,(07)7469595,07-741-3643,22.62760538,120.3628526
第三救災救護大隊,第二中隊,大寮分隊,64000140,831124高雄市大寮區鳳林三路569-1號,(07)7811457,07-782-0321,22.60808907,120.3947309
第三救災救護大隊,第二中隊,中庄分隊,64000140,831013高雄市大寮區八德路300號,(07)7022090,07-702-2089,22.63219902,120.3969698
第三救災救護大隊,第二中隊,林園分隊,64000130,832209高雄市林園區林園北路187號,(07)6412310,07-645-1810,22.50821948,120.3945163
第三救災救護大隊,第三中隊,高桂分隊,64000110,812018高雄市小港區博學路369號,(07)8036119,07-803-1119,22.56236287,120.3706004
第三救災救護大隊,第三中隊,小港分隊,64000110,812003高雄市小港區平和南路119號,(07)8415978,07-821-9455,22.56293543,120.3363591
第三救災救護大隊,第三中隊,大林分隊,64000110,812039高雄市小港區鳳林路116號,(07)8711511,07-871-6749,22.52707085,120.3460127
第四救災救護大隊,第一中隊,橋頭分隊,64000200,825005高雄市橋頭區甲樹路1168號,(07)6111495,07-612-4043,22.7414502,120.2967826
第四救災救護大隊,第一中隊,梓官分隊,64000290,826002高雄市梓官區進學路136號,(07)6192894,07-617-8884,22.76037495,120.2629601
第四救災救護大隊,第一中隊,燕巢分隊,64000210,824006高雄市燕巢區中安路5號,(07)6162595,07-616-9147,22.78829951,120.3614036
第四救災救護大隊,第二中隊,大樹分隊,64000150,840101高雄市大樹區中興北路227之1號,(07)6512842,07-652-9019,22.69638319,120.4319201
第四救災救護大隊,第二中隊,鳥松分隊,64000180,833161高雄市鳥松區鳥松村公園路51號,(07)7329758,07-732-9760,22.65624085,120.3599227
第四救災救護大隊,第二中隊,大社分隊,64000160,815203高雄市大社區金龍路67號,(07)3541707,07-354-1705,22.72933786,120.3540876
第四救災救護大隊,第二中隊,仁武分隊,64000170,814014高雄市仁武區仁林路66號,(07)3718548,07-371-1056,22.70162399,120.3586971
第四救災救護大隊,第二中隊,特搜中隊,64000170,814014高雄市仁武區仁林路66號,(07)3732415,07-373-2420,22.70162399,120.3586971
第四救災救護大隊,第三中隊,楠梓分隊,64000040,811021高雄市楠梓區楠梓路418號,(07)3533651,07-352-9942,22.73687177,120.3253305
第四救災救護大隊,第三中隊,右昌分隊,64000040,811012高雄市楠梓區後昌路1133號,(07)3651482,07-366-0160,22.71769743,120.2916988
第五救災救護大隊,第一中隊,路竹分隊,64000240,821013高雄市路竹區國昌路78號,(07)6963807,07-696-9881,22.85493157,120.2590096
第五救災救護大隊,第一中隊,阿蓮分隊,64000230,822003高雄市阿蓮區忠孝路200號,(07)6312019,07-631-4524,22.87917818,120.3294135
第五救災救護大隊,第一中隊,茄萣分隊,64000260,852203高雄市茄萣區茄萣路二段422號,(07)6904163,07-690-8492,22.90353416,120.183186
第五救災救護大隊,第一中隊,湖內分隊,64000250,829004高雄市湖內區中正路二段93號,(07)6995884,07-699-8532,22.90822636,120.2110749
第五救災救護大隊,第二中隊,岡山分隊,64000190,820002高雄市岡山區壽天路19號,(07)6212300,07-621-0054,22.79628797,120.2944379
第五救災救護大隊,第二中隊,田寮分隊,64000220,823003高雄市田寮區七星路51-1號,(07)6362081,07-636-2083,22.82494625,120.4057497
第五救災救護大隊,第二中隊,崇德駐地,64000220,823001高雄市田寮區崇德路9之1號,(07)6367506,07-636-2083,22.8774266,120.3825306
第五救災救護大隊,第二中隊,彌陀分隊,64000280,827010高雄市彌陀區中正北路7號,(07)6100890,07-610-0891,22.78392301,120.2462656
第五救災救護大隊,第二中隊,永安分隊,64000270,828107高雄市永安區永安路7號,(07)6910073,07-691-0770,22.82311779,120.2368783
第六救災救護大隊,第一中隊,旗山分隊,64000300,842056高雄市旗山區延平一路507號,(07)6612300,07-661-2762,22.88822961,120.4833791
第六救災救護大隊,第一中隊,美濃分隊,64000310,843008高雄市美濃區民生路75號,(07)6812039,07-681-9704,22.90062657,120.542327
第六救災救護大隊,第一中隊,內門分隊,64000350,845051高雄市內門區菜公坑50號,(07)6673334,07-667-3343,22.92961328,120.4585657
第六救災救護大隊,第二中隊,甲仙分隊,64000330,847002高雄市甲仙區林森路2號,(07)6751995,07-675-3852,23.08331447,120.5902528
第六救災救護大隊,第二中隊,那瑪夏分隊,64000380,849001高雄市那瑪夏區平和巷6-2號,(07)6701440,07-670-1742,23.23135961,120.6950388
第六救災救護大隊,第二中隊,杉林分隊,64000340,842054高雄市杉林區清水路中學巷6-1號,(07)6772204,07-677-2214,22.9678624,120.5424233
第六救災救護大隊,第三中隊,六龜分隊,64000320,844001高雄市六龜區民治路9號,(07)6891324,07-689-4101,22.99782837,120.6336159
第六救災救護大隊,第三中隊,寶來分隊,64000320,844004高雄市六龜區中正路137-3號,(07)6881382,07-688-1343,23.11046669,120.7032522
第六救災救護大隊,第三中隊,桃源分隊,64000370,848001高雄市桃源區南進巷199號,(07)6861358,07-686-1359,23.15813756,120.7641659
第六救災救護大隊,第三中隊,茂林分隊,64000360,851001高雄市茂林區茂林巷119號,(07)6801610,07-680-1637,22.89389174,120.6703877
